c,z,k,a,c_,z_,k_,a_,matched,trial
0.0,0.5,2.0,1.0,0.0,0.4999977859953538828,2.000000000000000444,1.0,1.0,1.0
0.0,1.0,2.0,1.0,0.0,0.99999021170260604663,2.000000000000000444,1.0,1.0,1.0
0.0,2.0,2.0,1.0,0.0,1.9999876620879666334,2.000000000000000444,1.0,1.0,1.0
0.0,0.5999999999999999778,2.2800000000000006928,0.83333333333333321,0.0,0.5999950311633960309,2.2800000000000006928,0.8333333333333331483,1.0,1.0
0.0,0.999999999999999889,2.3200000000000007283,1.0400000000000000355,0.0,0.9999937435174824918,2.3200000000000007283,1.0400000000000000355,1.0,1.0
0.0,0.999999999999999889,2.5600000000000009415,0.7874015748031494576,0.0,0.9999964037265091088,2.5600000000000009415,0.78740157480314942884,1.0,1.0
0.0,1.1999999999999998446,2.4200000000000008171,1.0300000000000000266,0.0,1.1999948960237898365,2.4200000000000008171,1.0300000000000000266,1.0,1.0
0.0,1.8999999999999996891,2.000000000000000444,1.0400000000000000355,0.0,1.8999878021350109503,2.000000000000000444,1.0400000000000000355,1.0,1.0
0.0,0.5,2.5400000000000009237,1.1800000000000001599,0.0,0.4999980239510934399,2.5400000000000009237,1.1799999999999999378,1.0,1.0
0.0,1.2999999999999998224,2.340000000000000746,1.2200000000000001954,0.0,1.2999920310099943865,2.340000000000000746,1.2199999999999999734,1.0,1.0
0.0,1.6999999999999997335,2.2800000000000006928,0.98039215686274508096,0.0,1.6999918909949864876,2.2800000000000006928,0.98039215686274494566,1.0,1.0
0.0,1.7999999999999997113,2.2200000000000006395,0.7692307692307690731,0.0,1.7999865203465226227,2.2200000000000006395,0.7692307692307690514,1.0,1.0
0.0,1.7999999999999997113,1.5600000000000000533,0.8928571428571427722,0.0,1.7999743152720926176,1.5600000000000000533,0.8928571428571426827,1.0,1.0
0.0,1.499999999999999778,2.9200000000000012612,1.0400000000000000355,0.0,1.4999944801912905579,2.9200000000000008171,1.0400000000000000355,1.0,1.0
0.0,0.8999999999999999112,2.340000000000000746,1.1600000000000001421,0.0,0.8999928741702339918,2.340000000000000746,1.1599999999999999201,1.0,1.0
0.0,0.5999999999999999778,2.9800000000000013145,0.97087378640776696517,0.0,0.5999969871944923483,2.9800000000000013145,0.9708737864077667812,1.0,1.0
0.0,1.0999999999999998668,2.2200000000000006395,0.88495575221238929013,0.0,1.0999937728798427905,2.2200000000000006395,0.8849557522123892017,1.0,1.0
0.0,0.7999999999999999334,2.860000000000001208,1.2300000000000002043,0.0,0.7999970142783819904,2.8600000000000007638,1.2300000000000002043,1.0,1.0
0.0,1.2999999999999998224,2.6200000000000009948,1.0300000000000000266,0.0,1.2999932748284772632,2.6200000000000009948,1.0300000000000000266,1.0,1.0
0.0,1.3999999999999998002,2.4200000000000008171,0.85470085470085459055,0.0,1.3999927726700556185,2.4200000000000008171,0.85470085470085455093,1.0,1.0
0.0,1.2999999999999998224,1.5,0.75187969924812013504,0.0,1.2999642439625649359,1.5,0.751879699248120148,1.0,1.0
