c,z,k,a,mean,std,skew,kurt
0.0,1.0,1.5,1.0,0.0,1.3641383485036930878,0.0,3.7619542369305358775
0.0,1.0,1.5,1.0100000000000000089,0.018211953351354268071,1.3644886108896909782,0.045893342445474182012,3.7647436509364293755
0.0,1.0,1.5,1.0200000000000000178,0.036261368776323611718,1.3655261487931449338,0.09132113526438313811,3.7730002977683310128
0.0,1.0,1.5,1.0300000000000000266,0.05416774134288957626,1.3672323652704618802,0.13627958042007476402,3.7865585094799909527
0.0,1.0,1.5,1.0400000000000000355,0.07194958975405839341,1.3695902677876148346,0.18076542487929003755,3.805255015597856616
0.0,1.0,1.5,1.0500000000000000444,0.089624535742331992716,1.3725843548416691853,0.22477595279861023458,3.8289290630232266643
0.0,1.0,1.5,1.0600000000000000533,0.107209376706106723764,1.3762005128294403367,0.26830897578943313508,3.8574225319912076593
0.0,1.0,1.5,1.0700000000000000622,0.12472015225219119927,1.3804259221516428369,0.31136282150584349004,3.8905800468179050355
0.0,1.0,1.5,1.0800000000000000711,0.14217220523670717758,1.3852489716522706775,0.35393632078160275345,3.928249080402320459
0.0,1.0,1.5,1.0900000000000000799,0.15958023783324021272,1.3906591805909405135,0.39602879352521519474,3.970280051659612841
0.0,1.0,1.5,1.1000000000000000888,0.1769583631011433511,1.39664712743227315,0.43764003356559821878,4.0165264152493760363
0.0,1.0,1.5,1.1100000000000000977,0.19432015247742306929,1.4032043848125943519,0.47877029262527953657,4.0668447431282999105
0.0,1.0,1.5,1.1200000000000001066,0.21167867957184233196,1.4103234601115692826,0.51942026358330339875,4.1210947976028773354
0.0,1.0,1.5,1.1300000000000001155,0.22904656060604461354,1.4179977411160000766,0.5595910631760954157,4.179139595685928299
0.0,1.0,1.5,1.1400000000000001243,0.24643599180303762952,1.4262214463158380262,0.5992842142713853404,4.240845464672574394
0.0,1.0,1.5,1.1500000000000001332,0.2638587840027355469,1.4349895794193527898,0.6385016278381071553,4.306082088948056885
0.0,1.0,1.5,1.1600000000000001421,0.28132639475198556456,1.4442978876732381899,0.6772455847833801501,4.37472254864192589
0.0,1.0,1.5,1.170000000000000151,0.29884995809320319404,1.4541428239031355396,0.71551871740968908675,4.446643347274362057
0.0,1.0,1.5,1.1800000000000001599,0.31644031225405022667,1.4645215113663656581,0.7533239914192932929,4.5217244359471946424
0.0,1.0,1.5,1.1900000000000001688,0.33410802542121342817,1.4754317119320823348,0.7906646874710242523,4.5998492248702476104
0.0,1.0,1.5,1.2000000000000001776,0.35186341976401336318,1.4868717967692519633,0.8275443831398227035,4.680904589448116937
0.0,1.0,1.5,1.2100000000000001865,0.36971659385804211961,1.4988407195441746378,0.86396693504222865645,4.7647808685881987145
0.0,1.0,1.5,1.2200000000000001954,0.387677443645142783,1.511337991890540744,0.89993646123245907287,4.85137185603745813
0.0,1.0,1.5,1.2300000000000002043,0.40575568205347906092,1.5243636609702273521,0.93545732391842650877,4.9405747851385557468
0.0,1.0,1.5,1.2400000000000002132,0.42396085739032263184,1.5379182889337470463,0.9705341125901016941,5.032290307752298908
0.0,1.0,1.5,1.250000000000000222,0.4423023706100332464,1.5520029342856753729,1.005171627305285087,5.126422465733910805
0.0,1.0,1.5,1.2600000000000002309,0.46078949155056764253,1.5666191346391082906,1.0393748628768486597,5.2228786603355992213
0.0,1.0,1.5,1.2700000000000002398,0.4794313742237821252,1.5817688912337219964,1.0731489930583306691,5.3215696134639518533
0.0,1.0,1.5,1.2800000000000002487,0.498237071237191409,1.5974546547379571138,1.1064993554318554025,5.4224093259767984776
0.0,1.0,1.5,1.2900000000000002576,0.51721554741861663906,1.6136793123779173964,1.1394314367473887817,5.5253150315421102334
0.0,1.0,1.5,1.3000000000000002665,0.5363756927083830339,1.6304461762759780985,1.1719508587717581971,5.6302071467643770575
0.0,1.0,1.5,1.3100000000000002753,0.5557263343790048715,1.6477589729143777841,1.2040633646566161197,5.7370092179593425996
